name,latitude,longitude,ratings,no_of_reviews,category,description,small_photo
Patan Dhoka,27.6791202,85.321376,,0,Lalitpur 44600,,https://lh5.googleusercontent.com/p/AF1QipODark688Q4M38W7qkWDQ60PlwcD4jtTT1AImBV=w1200-h1200-k-no
Jhamsikhel,27.6828555,85.3019883,,0,Lalitpur 44600,,https://lh5.googleusercontent.com/p/AF1QipMqyBKN8-haSA3V7bNquP6GViKAetCN0cFvzhwc=w1200-h1200-k-no
Balkumari Temple,27.6758251,85.3853204,4.6,307,Tourist attraction,·,https://lh5.googleusercontent.com/p/AF1QipO7ybhHEhP6B_y6iz-TaoFbOMr5IK7n_f_lDzT9=w1200-h1200-k-no
Gallery Mcube,27.6797733,85.3226699,4.5,93,Art center,·,https://lh5.googleusercontent.com/p/AF1QipP4Y2Gd57xmDrEgo0-B0gaBwp9qexz9gaZwipph=w1200-h1200-k-no
National Botanical Garden,27.5969324,85.3801432,4.3,4320,Tourist attraction,·,https://lh5.googleusercontent.com/p/AF1QipOFpsSJTCokerqe97Blahy9nCblXG49DRjIoH7Q=w1200-h1200-k-no
Jal Binayak Temple,27.6582082,85.2932824,4.4,240,Tourist attraction,·,https://lh5.googleusercontent.com/p/AF1QipN4C6XmWOK9mt3cIiv1SBDodScmNZe3_SkeQpfM=w1200-h1200-k-no
Thimi Pottery Square,27.6793234,85.3848428,4.5,11,Tourist attraction,·,https://lh5.googleusercontent.com/p/AF1QipNpLCZ56DEtqlePIdSjPSNP-vH653aYwS7QUo11=w1200-h1200-k-no
The Precious Arts,27.6726296,85.3266042,4.9,174,Art school,·,https://lh5.googleusercontent.com/p/AF1QipMRcGFUwI1hgaU7yXBWZ-7CB6pbLLfVQv9iAlii=w1200-h1200-k-no
Shankha Park,27.7334797,85.3426304,4.2,707,Park,·,ht
Lagankhel Bus Station,27.6672915,85.3231529,3.4,151,Bus station,,https://lh5.googleusercontent.com/p/AF1QipMpAeGK4mH7G35jXE5ZqCbPCf54GWXPFhVovP6C=w1200-h1200-k-no
Uma Maheshwor Temple,27.6800533,85.2746319,4.6,687,Tourist attraction,·,https://lh5.googleusercontent.com/p/AF1QipP8h-z2d1gFzuugmUVCCp2j_qe19M3vvoi2u_Rw=w1200-h1200-k-no
Rato Machhendranath Temple,27.6296562,85.3021253,4.4,305,Tourist attraction,·,https://lh5.googleusercontent.com/p/AF1QipM0OPHoruWrc-aNyO1fQPGHjA0-3cd8BkOdTdYC=w1200-h1200-k-no
Mahaguthi Craft with Conscience,27.6853593,85.3180374,4.2,83,Craft store,·,https://lh5.googleusercontent.com/p/AF1QipPNgx4hjQ4uqA-gJRtu7HwSU0NiqJFvZ_Sp6UwG=w1200-h1200-k-no
Whoopee Land Amusement Water Park,27.6619959,85.287777,,0,,,
शंखमुल पार्क,27.679462,85.3307485,4.1,873,Park,,https://lh5.googleusercontent.com/p/AF1QipOZ0yCLnqhVuwIxlH77NN2T6nKmKFKbSSLaGg2C=w1200-h1200-k-no
Jawalakhel,27.6744259,85.3123293,,0,Lalitpur 44600,,https://lh5.googleusercontent.com/p/AF1QipM7SNkXwYcNf5HO7TFNtuWOFeS4hPR0sVZFDSQm=w1200-h1200-k-no
Labim Mall,27.6771166,85.3170766,4.2,4227,Shopping mall,·,https://lh5.googleusercontent.com/p/AF1QipMp8Wovm4TxTDn1UJo-ii8wXkTej0n87jF5koQ6=w1200-h1200-k-no
Norkhang Complex,27.6736092,85.31402,3.9,927,Shopping mall,·,https://lh5.googleusercontent.com/p/AF1QipOyXN-sIvTQuW65MDm-IeZy5fGuahMtqYXw59jz=w1200-h1200-k-no
Shivapuri Nagarjun National Park,27.8129232,85.385934,4.4,5259,Tourist attraction,Large park with trails & historic sites,https://lh5.googleusercontent.com/p/AF1QipP9nNw6LRf4YawgmvExu2G5WaaDpiJXlOGvyfZ8=w1200-h1200-k-no
Tajaa Pha The Heritage Home,27.6756716,85.3207161,4.7,83,3-star hotel,,https://lh3.googleusercontent.com/gps-proxy/AE4_-5EbQXoWp6fVhjEOn9C13cgE_Y6BtKutN9jMtniIJBI-vncQ70dYk4jGUlv6nXZ02LgxFJZgek89vtCexzTeFqyIbDHqLUL-3SR-PCaG0dsZIIl-q7mFB2zo_EXjsayCYJwWrf9n-Y1NL62wZw2v3UokEZJ_ZDY_z7023fYtxVh-w4zzKBGMh2QF=w1200-h1200-k-no
Dani's Handmade Coffee & Murphy's fries,27.6727689,85.3246287,4.0,253,Cafe,·,https://lh5.googleusercontent.com/p/AF1QipM4w3ECz0M9vdDQrDqd_wkOSi6xCXWl4CUnbD5p=w1200-h1200-k-no
Mangal Bazar,27.6726484,85.3249198,4.5,80,Bus stop,,https://lh5.googleusercontent.com/p/AF1QipPP9je-Mfv5BL5F3aTVmcPg2Z3EqZTOwVe1xx8C=w1200-h1200-k-no
Kathmandu Fun Park,27.701377,85.3203981,4.0,3432,Tourist attraction,·,https://lh5.googleusercontent.com/p/AF1QipPaXodpWZHGc2d0CWOWHbHAgHBlwIJmbZtE-fPD=w1200-h1200-k-no
Lalitpur,27.5178453,85.3136218,,0,,,https://lh5.googleusercontent.com/p/AF1QipOdBqnao3OrZpxHvbjxTw2wueExP6bDqfH-CIb4=w1200-h1200-k-no
The Best Archery,27.679671,85.307024,4.2,176,Recreation center,,https://lh5.googleusercontent.com/p/AF1QipNJ62rvF55NaeIceuBsWm4Em2l8KH-rym3UqfKs=w1200-h1200-k-no
Gyanmandala yoga community,27.6775709,85.3110521,4.4,17,Yoga studio,·,https://lh5.googleusercontent.com/p/AF1QipM2iKZ3PTjQgsHKQm0-0uSDVzQSrHhezFOXcNAN=w1200-h1200-k-no
Sattya Media Arts Collective,27.6754567,85.3130687,4.7,40,Media company,·,https://lh5.googleusercontent.com/p/AF1QipOY7UKNMur4eQfYspPfOr-Plt76CjDHcMQN8zSP=w1200-h1200-k-no
Chaitanya - Health & Wellness,27.6828786,85.3163375,4.6,312,Wellness center,·,https://lh5.googleusercontent.com/p/AF1QipN41eiwSo7xKi4U4hEkPXPO7v7G81zWPp1ULkkl=w1200-h1200-k-no
The Chiya Spot,27.6703427,85.3188555,4.0,348,Cafe,,https://lh5.googleusercontent.com/p/AF1QipOILymDZnTt2VzN6VSmQNOeNF-ITMOUC2GuDQhE=w1200-h1200-k-no
