id,name,latitude,longitude,ratings,no_of_reviews,type,small_photo,category
3029,Wooden Art Museum Dattatraya Bhaktapur,27.673326,85.435567,4.7,53,Museum,https://lh5.googleusercontent.com/p/AF1QipM7KGZ7Unztt2HSmvmBPUXLG82gSQhLVUx-tJSd=w1200-h1200-k-no,museum
3030,Nepali Folk Musical Instrument Museum,27.6926673,85.3144536,4.4,28,Heritage museum,https://lh5.googleusercontent.com/p/AF1QipPK75oNHHd9SjTpFnlp0DLECnQT4U38wuXa4KOv=w1200-h1200-k-no,museum
3031,Changu Museum,27.716441,85.4292105,4.2,17,Museum,https://lh5.googleusercontent.com/p/AF1QipOCNfPKuySah1T7kOVilts2aQFQVk9ZQM-drjRm=w1200-h1200-k-no,museum
3032,Global Nepali Museum (Online Museum),27.7252842,85.3617888,,0,History museum,https://lh5.googleusercontent.com/p/AF1QipNMfd7YlqDpSDRP52xlnoNXaT1QsslinEDRCeqx=w1200-h1200-k-no,museum
3033,Museum Bahal,27.69726,85.305994,4.3,26,Tourist attraction,https://lh5.googleusercontent.com/p/AF1QipOI9bpPeMgKSDmQCxbvl1bi1qxvPGrQiF3_clze=w1200-h1200-k-no,museum
3034,Durbar Museum,27.7134477,85.3177722,5.0,2,Museum,https://lh5.googleusercontent.com/p/AF1QipMaLOhBWtMJmYykuXZGql_rMpXWfNzweaMXcC-I=w1200-h1200-k-no,museum
3035,National Art Museum,27.6721934,85.4281506,4.2,57,Art museum,https://lh5.googleusercontent.com/p/AF1QipOuPihagaI4GBbVNjtENmEuUmyfJG601B8MuOgI=w1200-h1200-k-no,museum
3036,Udaaya Museum,27.7076243,85.3119341,5.0,2,Museum,https://lh5.googleusercontent.com/p/AF1QipOFmT6u_oPsOav8-bJCKtE1GEitIEPyFffznuRG=w1200-h1200-k-no,museum
3037,Kathmandu Fun Park,27.701377,85.3203981,4.0,3433,Amusement park,https://lh5.googleusercontent.com/p/AF1QipOyhLDXT1PEmNr3m_qvDFzJYVcfbwPN430xC36n=w1200-h1200-k-no,funpark
3038,Children's Amusement Park,27.7010756,85.3196435,3.9,2020,Amusement park,https://lh5.googleusercontent.com/p/AF1QipNxE0frCUzYe0GJ7rT9eWHjwOcb-8pTRz1MA8OB=w1200-h1200-k-no,funpark
3039,Fun Land,27.6975641,85.3190336,3.9,310,Amusement park,https://lh5.googleusercontent.com/p/AF1QipOAfwIWgxp_1wNwgk2BUnugtSmKHbL3rusFw14B=w1200-h1200-k-no,funpark
3040,Jump KTM Indoor Trampoline Park,27.7346197,85.3462353,3.9,521,Amusement park,https://lh5.googleusercontent.com/p/AF1QipMpNCI7aSEJqKekYkB-ApkAs75PDGavFcer1kNo=w1200-h1200-k-no,funpark
3041,Hariyali Park,27.722159,85.3360259,3.2,23,Amusement park,https://lh3.googleusercontent.com/gps-proxy/AE4_-5HLjEfsu-j-MrwcHRaDE8fVmY2row3Q0MNLmnOmdUjUnuKaLlW37ED8IKK4QNO6qoQlYeR2eNAgEBWgnZ0Ly5oNbnCPBg7SRm43Y96006IAAwx1c7YmyBrLoqJ605PUTy5UIOoR93dqMbJao3anOsbpR95f28OYGUYDWcmOMnuWKzfOzCe2HQ_ydjh80t36_hHD9BA=w1200-h1200-k-no,funpark
3042,Children’s Park,27.7454886,85.3472111,4.1,167,Park,https://lh5.googleusercontent.com/p/AF1QipNWi4WTZtHsLI6HIbRCUJdLKk2alTz_JU7vW_sF=w1200-h1200-k-no,funpark
3043,Bhrikuti Mandap Park,27.701292,85.3186434,3.9,1289,Park,https://lh5.googleusercontent.com/p/AF1QipPEiHj7AzngULUhHeRokmSPstUW64iWyZfe8lrO=w1200-h1200-k-no,funpark
3044,Whoopee Land Amusement Water Park,27.6619959,85.2877771,4.1,2452,Water park,https://lh5.googleusercontent.com/p/AF1QipPCHSn8EMlvFi3udBqif8-tvRKBgsyt6ZLmriow=w1200-h1200-k-no,funpark
3045,Khusibu Children Park,27.7177548,85.3006209,4.2,19,Park,https://lh5.googleusercontent.com/p/AF1QipM3M5denLeQm7cHprSeSlR-BnBtztnu1FE5FGDf=w1200-h1200-k-no,funpark
3046,Balaju Park,27.7338465,85.3011804,4.0,1841,Amusement park,https://lh5.googleusercontent.com/p/AF1QipNRUmrXbRA007e2Q1uVgJFfugnZX2NSGyilYF7A=w1200-h1200-k-no,funpark
3047,Gothatar Water Fun Park,27.712572,85.3748474,4.0,139,Water park,https://lh5.googleusercontent.com/p/AF1QipN4793_U-zm-hJmeoGzH2hkiMZOGu82924Fce8i=w1200-h1200-k-no,funpark
3048,Samakhusi Children Park,27.7240061,85.3136197,3.7,102,Park,https://lh3.googleusercontent.com/gps-proxy/AE4_-5FHDUfshlXbca4uV42tgGuWnPkVrGUH1XvvYFId4oJCJp2fV5WW8U02HqX09bWOIePlBXL318kFVmdK8NT29xxv80ySm4h_U0smwVKJVnPw40ZPBqQZBjk7wAs4rqrC_hPoowkSMeJa3tvv_odG_nkOg3HWTce_5DjAZG3WBecmJRs5vXuPzjnS8EoGtNOSMdkdiw=w1200-h1200-k-no,funpark
3049,Bhadrakali Garden,27.6992265,85.317478,4.2,19,Park,https://lh5.googleusercontent.com/p/AF1QipN_c7xczGiEC5mcRj3eQKDPNbliXaoV7wVsRpuP=w1200-h1200-k-no,funpark
3050,शंखमुल पार्क,27.679462,85.3307485,4.1,873,Park,https://lh5.googleusercontent.com/p/AF1QipMNL5X6uTW_J2wHPI_har2rPGyYkWpPARo5Ir6-=w1200-h1200-k-no,funpark
3051,Golfutar Park,27.7499761,85.3468032,3.8,127,Park,https://lh5.googleusercontent.com/p/AF1QipOs-xVARbfFDwg_2Xo40zeWJjIGlrBEDe-nMWGd=w1200-h1200-k-no,funpark
3052,Tokha Keba Fun Park,27.7624098,85.3283556,3.7,165,Water park,https://lh5.googleusercontent.com/p/AF1QipPj7nUjtWYn2YnjJp5DgSLglRx1I4lhpt_4v1uD=w1200-h1200-k-no,funpark
3053,Kamal Pokhari Park,27.7103591,85.3259695,4.3,441,Park,https://lh5.googleusercontent.com/p/AF1QipPpgdECljOKc7fFmQdKK55hCPpIAwyESk_d4gzH=w1200-h1200-k-no,funpark
3054,Shankha Park,27.7334797,85.3426304,4.2,707,Park,https://lh5.googleusercontent.com/p/AF1QipNoPa7uv54dfgcNJlbDl8VDLUo0WZQ-Q5aMdqRh=w1200-h1200-k-no,funpark
3055,Suryamukhi Park,27.6905987,85.3670526,4.0,297,Park,https://lh5.googleusercontent.com/p/AF1QipN_pt-LO6U_SQL9cqe62b2Qu4Zyxk6R08A7tkWR=w1200-h1200-k-no,funpark
3056,Kathmandu Fun Valley,27.6467707,85.4670261,3.8,678,Water park,https://lh5.googleusercontent.com/p/AF1QipOh8dLe0i_yWPXOMbjokf75nvjwU5aRMimr6Ns=w1200-h1200-k-no,funpark
3057,Swoyambhu Mahachaitya,27.7148996,85.2903957,4.6,14678,Buddhist temple,https://lh5.googleusercontent.com/p/AF1QipP_dHUj7TnM8cFimFFfu98ZY5yIQ3maOxN10YN5=w1200-h1200-k-no,temple
3058,Guhyeshwari Shaktipeeth Temple,27.7112609,85.3534316,4.5,2153,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipO3Jpc_jtX8X0WSxWizX1V-BdaI0AsA_1_L4_FW=w1200-h1200-k-no,temple
3059,Taleju Bhawani Temple,27.7049154,85.3080467,4.5,731,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipPjgCh4moBwl307ZZqveuZWOnyaqkMOSxocs9nt=w1200-h1200-k-no,temple
3060,Maitidevi Temple,27.705875,85.3340061,4.6,3014,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipOK6T45RjMGbo0ruzofgb881twPtyvPNyBRBr-F=w1200-h1200-k-no,temple
3061,Pashupatinath Temple,27.710512,85.3488125,4.7,33012,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipM_B8dIIYaXctA783vNW69QzaPTGves3Kg8-fFS=w1200-h1200-k-no,temple
3062,Kirateshwar Mahadev,27.7125183,85.350001,4.6,88,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipPppDnYqNukJe2FFQqm6fOzA8ay8SzuWJTy3RCU=w1200-h1200-k-no,temple
3063,Jagannath Temple,27.704695,85.3072217,4.6,67,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipPur8vFn67NWSsJCSAjG3epJUekhrnNdbJSfWIM=w1200-h1200-k-no,temple
3064,Krishna Temple,27.6735983,85.3249312,4.7,6563,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipNrshIVWkmR8U_uzxPjWJaNvDImJ507TtWNB69N=w1200-h1200-k-no,temple
3065,अशोक विनायक मन्दिर,27.704106,85.3059307,4.6,521,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipOlXGBSqS-1Ew6QLueUk0MetTbeNJd21K-S8CbM=w1200-h1200-k-no,temple
3066,Gorakhnath Temple - गोरखनाथ मन्दिर - मृगस्थली,27.7105037,85.3515468,4.6,113,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipPO24ko0KjGannfopOwvfII00TMslmB6tN32KrC=w1200-h1200-k-no,temple
3067,Maha Manjushree Temple,27.7159001,85.2876954,4.3,112,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipOqeTRRr8KK-zTnJ6nspa_gU6PyZ35LfhPeZCO1=w1200-h1200-k-no,temple
3068,Ichangu Narayan Temple,27.729976,85.2639605,4.5,363,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipOLxkFdMknedd7gM-xzEn6Bwh5Fvo1LbyrhdpQp=w1200-h1200-k-no,temple
3069,Pashupati Temple,27.7102164,85.3487502,4.8,93,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipMM2ihPsvpOlc4VRyqCJrXZbCDtJR9jM61gFBO-=w1200-h1200-k-no,temple
3070,Tridevi Temple,27.713845,85.313914,4.6,32,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipOZHV27sVBh6KSAwFNJ0JyFX8FgMO7Lj_eRMaox=w1200-h1200-k-no,temple
3071,Manjushree Temple,27.7011,85.3060069,4.4,17,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipN5bW8gGudHsKijxa3lp52pdEcOvv_G8VFBW8OQ=w1200-h1200-k-no,temple
3072,Shiva Temple,27.7082641,85.3345496,3.5,6,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipNO1CkBPu_Wafjr4ZQdAnDpnxWmHdOGqZcuKiQR=w1200-h1200-k-no,temple
3073,Kamaladi Ganesh Temple,27.7077936,85.3193073,4.7,1132,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipPuzKRQ3NNxTcx8vUmkUXAyGRXO8uSoYHfpc1V4=w1200-h1200-k-no,temple
3074,Kalikasthan Temple,27.7031529,85.3264819,4.5,85,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipNjfxg2n5EfPEapbcWD0fl3sb3u9rESSkq2w0tW=w1200-h1200-k-no,temple
3075,Sankata Mandir,27.7020825,85.311965,4.6,875,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipNzGEpLy29dBWZyTQ-Jh1nDPhZJjau_3c7hzTpI=w1200-h1200-k-no,temple
3076,"Bhadrakali Temple (Lunmari Ajima), Kathmandu",27.699277,85.3168549,4.5,726,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipPsyQ8f1QBF58ncr3zJvgsek949ExLJEDTje3vU=w1200-h1200-k-no,temple
3077,Temple,27.7026892,85.2853374,4.1,14,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipP4uur91-ndj2e_v_avQheyS3RtlwV5Jder1jk=w1200-h1200-k-no,temple
3078,Natyeshwar Temple (Naasah Dyo),27.7105245,85.3107954,4.3,20,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipM5W8o_N3QbuuZUqNuLXur537J8iRt6e7pcBlhm=w1200-h1200-k-no,temple
3079,Bhagwati Temple,27.7161723,85.3337663,4.3,50,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipNcCNFAKKGzW16Ugiyo6KY-KW9RVvVIRNvLRy24=w1200-h1200-k-no,temple
3080,Jayabageshwori Temple,27.7103128,85.3440271,4.4,212,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipMJIJ2qY1m-wBejYZuc4-Wqfm4_gMYTykVim2Rq=w1200-h1200-k-no,temple
3081,Shree Kalbhairab Temple,27.7048216,85.3071765,4.7,1171,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipOS4Jo15gEeSekEqHTpvExjxnuX-LMC_pKUkYys=w1200-h1200-k-no,temple
3082,Vishnu temple,27.6974005,85.3078412,3.6,5,Hindu temple,https://lh3.googleusercontent.com/gps-proxy/AE4_-5F02Y2EjPuLHS4beu4U8UfTVpgiaVJi_MEuU89zFDgjrAdVCMeZs-c3jiIKBndYHgF3SkF7G5Gj9pZuySfA4l9bTC5khDS_NoqHULFBNyE-dq--ISKhLEMLtrCP87eIXSrStc6fdkHUITGBxOUBHblMM70_Wo7s1PT4KL0BWkV9mE-Xv3o1uAHZWXTSSRzpJ3-UavQ=w1200-h1200-k-no,temple
3083,Shree Narayan Temple,27.7137025,85.3190313,4.1,46,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipMigbO3H7fFk3QiFsqKclCCMqTXRYkNikSs4Yv_=w1200-h1200-k-no,temple
3084,Akash Bhairab Temple,27.7060376,85.3094002,4.5,515,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipMgI7QjjroOKTr-XOOhT-Or3LXyVaPMcT1jJTZc=w1200-h1200-k-no,temple
3085,Pancha Kumari Temple,27.6991479,85.3511762,4.3,99,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipORgBHelbBPrvkIpaRqhgmWqdg_UVVBF__DdyVS=w1200-h1200-k-no,temple
3086,"Mahankal Temple, Tundikhel",27.7039114,85.3138976,4.8,50,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipOfyOfvaizf1hLj77lqPZInfX6HXm2_8UmGQ64l=w1200-h1200-k-no,temple
3087,"Ram Mandir, Battisputali",27.7068207,85.3407652,4.5,267,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipMFoyOveQRhNZFffLTNF2JL0gfw2_CcgmfZPoIU=w1200-h1200-k-no,temple
3088,Bandhudatta Temple,27.6830296,85.2968904,4.0,6,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipO8_E3vSui9uGa7sL0Bmf82Or_ErpYRyYM3d-tG=w1200-h1200-k-no,temple
3089,Kageshwor Mahadev Temple,27.7050006,85.3074385,4.5,32,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipNShXO4dbZOQ8NNdrlPXxi0E6NIq9nr2IWHPWCj=w1200-h1200-k-no,temple
3090,Dakshinkali Mandir,27.7266188,85.3183584,4.3,61,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipMCK8JiIjZsEEqkIPxn4KcqNWqf7wrk_81nufsS=w1200-h1200-k-no,temple
3091,Ananda Bhairab Temple,27.7100902,85.3331399,4.2,83,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipPmrh3tn8yYJnJRGwQF5N4Cu3_Gn0HUxPfBw7Xr=w1200-h1200-k-no,temple
3092,Sitapaila Temple,27.7154565,85.2721276,4.0,89,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipPNoA-kq8opcHkUl4s6vuDHX23ab3vzfRg1tpZp=w1200-h1200-k-no,temple
3093,Krishna temple,27.7069333,85.3111154,3.5,6,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipNqqnYsX3Y9H95tGo42uulY-lFLnz7UaTLuoTmg=w1200-h1200-k-no,temple
3094,Shiva Parvati Temple,27.69715,85.30624,4.3,20,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipP06AfUMyDUqg2qERzSLgAhHWNb_Yz-jN3NpHk=w1200-h1200-k-no,temple
3095,Shree Prachin Bag Bhairav Temple श्री प्राचिन बाघ भैरव मन्दिर,27.6594124,85.2553455,4.6,16,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipNbY6bOxL9c7jR9Etdfq--O-Udz1Cw7FEL8QAgC=w1200-h1200-k-no,temple
3096,Mahakala temple,27.6988088,85.3054037,4.2,23,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipMMer8NqQ7RVaIq4GcTdeivOcOiiFbp6BFUEqT9=w1200-h1200-k-no,temple
3097,Santaneshwor Mahadev Temple,27.7071851,85.3072772,4.4,97,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipOhCPaOG-lTLpjg5oFCM_oRcFoNrXihU5lVzI-t=w1200-h1200-k-no,temple
3098,Krishna temple,27.726508,85.335408,4.7,41,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipNh-EcWPTQ-iVcLDp1J84XsXfZL8hxOtqzcGL-9=w1200-h1200-k-no,temple
3099,Kotilingeshwar Mahadev Temple,27.704931,85.3070515,4.3,4,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipM53hSED4ZBcnMGjDbEOQbjZqvKNhKvMpWRESsH=w1200-h1200-k-no,temple
3100,Krishna Mandir hadigaun,27.7176869,85.3364618,4.1,60,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipNoTGctNNG4MuKVAQWasKmTVXDEmzbli2_gH6lk=w1200-h1200-k-no,temple
3101,Gauri Temple,27.7130146,85.3495752,4.4,8,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipPRfUPCku98NBO-Tqzq41_ca6kkioUaRmk4A56N=w1200-h1200-k-no,temple
3102,Venkatesh Mandir Devasthan,27.7062065,85.3432821,4.5,92,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipPvzUof3DZKsodfJmGE4S05Z8eGIoAOTFLpmHRS=w1200-h1200-k-no,temple
3103,Kalmochan Mandir,27.6912927,85.3158806,5.0,3,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipPOFnEzsmSY-t13qAWRo0pxrXcIKH2H8av31-sj=w1200-h1200-k-no,temple
3104,Hanuman Temple,27.7078231,85.3190942,4.3,8,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipMXbdC1-mwy79sf7s-w0PNZtMu6ptCoQhzlh9K_=w1200-h1200-k-no,temple
3105,Shiva mandir temple,27.7062319,85.2982308,4.8,5,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipP9E_FqWEBTd1RhITk_8uv_DeaKhhI5K2UosT5G=w1200-h1200-k-no,temple
3106,Shree Chamunda Bhagwati Temple,27.7236132,85.3721017,4.4,23,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipNEobGQej75zo3Abc2ibGsMe5aHgETOWSioU9bE=w1200-h1200-k-no,temple
3107,Trailokya Mohan Narayan Temple,27.7040454,85.3063564,4.4,30,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipPQ_61JVsSNyp1lSLUSVIwix0DjditSOe35KW8R=w1200-h1200-k-no,temple
3108,Mhepi Ajima Temple,27.7274733,85.3085223,4.5,455,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipMXQ8mLkOAp5SCeOX76ZCGY6_zgPYYLsjEm53ox=w1200-h1200-k-no,temple
3109,Shree Laxmi Narayan Temple,27.7113518,85.3112098,5.0,1,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipO9B5VfTYewJs3MxtI1P73c73lZ-Fy_THzYztDG=w1200-h1200-k-no,temple
3110,Shree Bhuwaneshwori Temple,27.7103571,85.3463299,4.6,16,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipM7bZw0b2IKaF5RhH-HjXs-8FW4C_NNAHtT52TF=w1200-h1200-k-no,temple
