id,name,latitude,longitude,ratings,no_of_reviews,type,small_photo,category
3111,Mrigasthali Shivalayas,27.7100972,85.3509555,4.5,4,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipPHfC8z-jWDWSEm6waFpdWAXA-ByGcPdz5IvTo-=w1200-h1200-k-no,temple
3112,Stone Vishnu Temple,27.7045825,85.3066985,4.0,1,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipObo13ydktNa8DAtTl7xbJcf5w_RRBDMJgRAPff=w1200-h1200-k-no,temple
3113,Raktakali Temple रक्तकाली मन्दिर,27.7087555,85.3070706,4.4,85,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipOeW9CFDgKGpU59JgcAB_IJHDYvqc2QqycsCR6U=w1200-h1200-k-no,temple
3114,Annapurna Temple asan,27.7072999,85.312101,4.6,34,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipO-6EJWlA2r8nDouO9BdlzIelwqm3BObfhnHirt=w1200-h1200-k-no,temple
3115,Vishnu temple,27.7010731,85.3220637,4.5,2,Hindu temple,https://maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png,temple
3116,Kasthamandap,27.7039105,85.3058891,4.6,754,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipN1JhyJCXK-eJwkAGW9Mfzb1f-m9Aa4jhtX25p5=w1200-h1200-k-no,temple
3117,Gorakhnath Temple,27.7014556,85.3234187,4.5,4,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipM31QOGK3a-eVqyG6SJNz_lSgiCh1Xrs_jotLu_=w1200-h1200-k-no,temple
3118,Mahadev Parvati Temple,27.7043943,85.3065221,4.0,3,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipNCZxLXAflEHKoAZDkvnueAtWn4EyBqKNJGb1-y=w1200-h1200-k-no,temple
3119,Balkumari Temple बालकुमारी मन्दिर,27.7069732,85.3115315,3.7,10,Hindu temple,https://lh3.googleusercontent.com/gps-proxy/AE4_-5Hb5v3V8zvxHKEnkabR6qU2EdKYEs3m-YnuqBpqn1CoOl3MBCKfHX_d3_HLkizW7eNHwNCznjHvTjjAAgMfXCOm1htRO0N6nZAKcXbvvCZkKrM12aObTwxgFVUXnXv7qcfpxawZWuXo8RlS3078Pow18dvvrNnSl9z6rDxtinoOb3XltpTSTc57GPv7Rl2ipYK6Du8=w1200-h1200-k-no,temple
3120,Rudra Gaadeshwar Temple रूद्र गाडेश्वर,27.7106966,85.3487444,4.0,4,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipP1P3aCgaPFMEDv3bKz2F_KFvfifDDYBXyjfURN=w1200-h1200-k-no,temple
3121,Radha Krishna Temple Balkumari,27.674081,85.341281,3.9,8,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipPBcEh3IQppZHX1YjoAfcMicDKuwoN2BJHOrYLY=w1200-h1200-k-no,temple
3122,Shree Ramchandra Mandir (श्री रामचन्द्र मन्दिर ),27.706726,85.3406439,4.2,36,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipM1b7L4z_385WxL6DgOoA9ncCgVNj1B2dXwqHoO=w1200-h1200-k-no,temple
3123,Degutaleju Temple,27.7044937,85.3070612,4.4,5,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipO0sL4t7CUXq0tz-b3XcO8ukWrVOuvCiZSlkSmz=w1200-h1200-k-no,temple
3124,Sarweshwor Mahadev Temple,27.7134336,85.3670274,4.4,172,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipMllEN-whRBDmr-JBVavQLHLiP2p6hZRlrHAMsn=w1200-h1200-k-no,temple
3125,Maju Dega,27.7042352,85.3062446,4.1,28,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipNsamnJ7H_een5GEvONazCXUkhrATtmLlvEJ8AC=w1200-h1200-k-no,temple
3126,Laxmi Narayan temple,27.691287,85.315894,4.3,8,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipO9HIA4M8ETmUwBSCWaLajLeIthJqP3myKLEb1r=w1200-h1200-k-no,temple
3127,Karyabinayak Ganesh Temple,27.6976166,85.3285934,4.4,38,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipMUP6j5gChVxjUr17zIKs5rB_a5zwDK0VLuPnNo=w1200-h1200-k-no,temple
3128,Shiva Shrine,27.7097222,85.3510095,4.5,6,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipOfHf6VAp7Dk7qJ2ZlHRgdBCG67DWOJBF628py7=w1200-h1200-k-no,temple
3129,Ganesh Mandir,27.7476068,85.3244655,4.3,11,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipOU1HmSdDg6rCxsVO5JgcRuHGDz78h9pvREPyfV=w1200-h1200-k-no,temple
3130,Swet Ganesh temple,27.7150715,85.3084748,4.3,4,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipOt6ScqRbb6N5WtLlCW75pzKaqPLeZRCHMkFvYM=w1200-h1200-k-no,temple
3131,valu vairab mandir,27.6958454,85.2818593,4.3,23,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipNgdQ4DkkETAwIQaeQc8DyxxZ6Svs-qYp4n03Gj=w1200-h1200-k-no,temple
3132,Panchayan Temple,27.6887427,85.3208771,4.3,9,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipPt5a9OmwnD7-ZPoktVLV3UF1zmyLiGs8tQuQ0v=w1200-h1200-k-no,temple
3133,Ugratara Temple,27.7078439,85.3112129,4.4,58,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipPqobMbEL3IWIre-kLWsNEF09j_sTK6hU9_L0MC=w1200-h1200-k-no,temple
3134,Nawadurga Temple,27.7475566,85.3006987,3.5,2,Hindu temple,https://maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png,temple
3135,Baasukinath Temple,27.71057,85.3490549,4.3,15,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipP--HLdimTBwDNMVao-eW9-KEFfRAvblm-jXorQ=w1200-h1200-k-no,temple
3136,Bhandareswor Mandir,27.712347,85.3387891,4.3,6,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipNa5uGxT2ovH1zYXt7kaZawQtR9dtdkm-RhNG_A=w1200-h1200-k-no,temple
3137,Banglamukhi Mandir,27.717495,85.3508389,4.3,27,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipOdmCXFs-rGV6XMWWwEZbj8cHcbGK8oJPWBfKdr=w1200-h1200-k-no,temple
3138,Tundal Devi Temple,27.7267004,85.3352446,4.4,193,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipPZ_DXglRXZ_WqB1_pBVR9yF-msPEXvBqkrrJVX=w1200-h1200-k-no,temple
3139,Uma Maheshwor Temple,27.6800533,85.2746319,4.6,687,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipP8h-z2d1gFzuugmUVCCp2j_qe19M3vvoi2u_Rw=w1200-h1200-k-no,temple
3140,Saraswati Mandir,27.7269613,85.3548861,4.4,68,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipPJStwWqVHsxv09rYPkuwSVv1GDguexLqdx-keH=w1200-h1200-k-no,temple
3141,Tara Dolma Temple,27.7070153,85.308156,4.6,25,Buddhist temple,https://lh5.googleusercontent.com/p/AF1QipPpAyzykhCeSYr2YeS4WBU8cYQXJgY9q0zfXWps=w1200-h1200-k-no,temple
3142,Bhagwati Bahal Temple ( भगवती बाहल मन्दिर ),27.7160337,85.3115791,4.8,12,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipPnN4P_OWXybaZLpnKChJofb-r9BWmfqd4_JvTm=w1200-h1200-k-no,temple
3143,Krishna Temple,27.6829717,85.3491183,4.7,7,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipMqRN9eQtFa3eTeBFInSUcUY3cP6pNVYKr8ALfF=w1200-h1200-k-no,temple
3144,Wonde Narayan Temple,27.6986732,85.3041252,4.2,5,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipMcrVBhgKHIi4Sxkph4Hua3jhQjv2jY81CHi2bw=w1200-h1200-k-no,temple
3145,Buddha Temple,27.7167965,85.3358235,4.5,97,Buddhist temple,https://lh5.googleusercontent.com/p/AF1QipOcn08IsNZD5EX2qmW_9RbtkTW4RA2VfbQ-CQwR=w1200-h1200-k-no,temple
3146,Shakti Vinayak Ganesh Mandir,27.6915444,85.3517178,4.7,6,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipPvRINyvfXtmrAtKYhOX5L5pu4WFVRaILQS1fbL=w1200-h1200-k-no,temple
3147,Unmukta Bhairav Temple ( उन्मुक्त भैरव मन्दिर ),27.7102906,85.3485852,3.5,4,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipOUruQ7QFu73vzg0aJJYLtwqhxq2LjpKq9QB4Be=w1200-h1200-k-no,temple
3148,Shova Bhagwati Temple,27.7149284,85.3009063,4.5,216,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipNl51K0i4mG08AImv8C0lREETQtK4fGh5J23ArN=w1200-h1200-k-no,temple
3149,Hanuman Mandir,27.7099721,85.3029742,4.5,6,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipMle1kpACy7eqMyFzfMV1tz5ysd6sRqJddXRyJv=w1200-h1200-k-no,temple
3150,Dayaswor Mahadev Mandir (Dhaam),27.7237548,85.3213519,4.5,6,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipPwLPPZv5lzRCMkW8LEBc-rdNzUzX5iJWotSq3K=w1200-h1200-k-no,temple
3151,Bhagwati Temple,27.7042859,85.3066619,4.5,2,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipP7C2DvpUP-gbwFHpEohe64QcbpmxDAXdhD-Vc2=w1200-h1200-k-no,temple
3152,Jal Binayak Temple,27.6582082,85.2932824,4.4,240,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipPYnNRWFaMcJ3XZGMD5Cg7Dl3OS_Qj10Njghlfg=w1200-h1200-k-no,temple
3153,Bhairav Temple,27.7023112,85.307873,5.0,3,Hindu temple,https://lh3.googleusercontent.com/gps-proxy/AE4_-5ET11e99FsMyR-dOzbfUzS8QjoufZFB94i0hCCU9TekdRhMbZl1tydldGu7mthMVyrJn3ENnyPSFhyTA3cUBZ7FayMVDoigXIhb6b120xAH4jOzxuNOdxqH1ki8eb7Sfbh8-L4CKdRdZ4TYbJRq7B9bRcE-vXWHcMfuGzgOgpu_gJKBEzepShM3VxkgpVB2dnOEbmE=w1200-h1200-k-no,temple
3154,कुश्वेश्वर महादेव मन्दिर,27.6918851,85.344419,4.5,10,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipMNv_6JnDGIVu7HGzSQGy9IbqCfAhKX_gC2DWAy=w1200-h1200-k-no,temple
3155,Dhumrabaraha Temple,27.7250903,85.3429762,4.5,65,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipN_Aird8DmcMGMNuklXpPNrmOyLKrreQcn2z9Na=w1200-h1200-k-no,temple
3156,Chunne Ganesh Temple,27.6952338,85.2949551,3.5,2,Hindu temple,https://lh3.googleusercontent.com/gps-proxy/AE4_-5HPh6NvPnAqxOG_6XSuYifNBQijTZNkT_wp99IYBtMccgTMgJnEA-LvzqxoI9uuBXPFhyV4YmeYa8Jgsq8-TZ_dx5v8s-Oav1qeJh6WqSS08vzvrrJqcL_i8KL3yPHidDx0AsEof22Y69J0MdvTSyZDJ3aBJrPlqGkfcXheHjeke4mWV3YXR4xfAy_1c1rEImfOP94=w1200-h1200-k-no,temple
3157,Sharbeshwor Mahadev Temple,27.6886513,85.3585736,5.0,2,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipNt5MSBPhwOYRDseCteNOGxXbKwgoZE2giNFY51=w1200-h1200-k-no,temple
3158,Buddha Temple,27.706883,85.308475,4.8,11,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipPia_zfRIdy8yNgkQlBpKIts4WOUQ3YHWvefMp7=w1200-h1200-k-no,temple
3159,Temples of Nepal,27.7142056,85.3134134,4.5,4,Religious destination,https://lh5.googleusercontent.com/p/AF1QipPg75r5vuCTAwKmJClc5jrvTnVb0ElMd111jmCu=w1200-h1200-k-no,temple
3160,Hanuman temple,27.727284,85.3411409,4.7,22,Hindu temple,https://lh3.googleusercontent.com/gps-proxy/AE4_-5GFpPRoq9-xRIU0NAQ2H9QVv4oQuz9M7aQXn14vb_GW9fL3gYoBiUlcKzatjqak4HaXl1X1y4CS0lmOct5sRhSZ8Ck3T5eJDgOX-S9PqdsgzshlFliqvm_e-INfdRsGorinIU_Dy11qMQPw7zUUPROkMqFg73FYacCzvtH-uwcEgCFJFzY1YLrZOnBGvUh39TZ0L88=w1200-h1200-k-no,temple
3161,"Shree Chandra Vinayak Mandir, Chabhil Ganeshthan",27.716698,85.3446699,4.4,740,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipO4Te8nhVlakxB2FngxoGncXxJPsuYXGxF2iQZo=w1200-h1200-k-no,temple
3162,Radha Krishna Temple,27.7325706,85.3000571,4.5,36,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipOgCDih_4_fRfYbpEap4PcmBJ0m44OE5qbyb18R=w1200-h1200-k-no,temple
3163,Dhansa Temple,27.703741,85.3059599,4.8,5,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipNPBUdj-JPwMRG2lfHbTg2cSFkeC3NJ08xX4F_d=w1200-h1200-k-no,temple
3164,Bhasmeshwor Temples and Sattals,27.7094006,85.348231,,0,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipMCqsO9jLqztPbMOJnLow4KEHwFqlitbQg_Hx8v=w1200-h1200-k-no,temple
3165,Swaan-chhapu Ganesh Temple,27.7105139,85.3097762,4.3,21,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipPXhQKAl8SFJgJGUJzHxVSW1XBIqWOnyBrEIK0f=w1200-h1200-k-no,temple
3166,Katyayani Temple,27.6951375,85.3455687,4.4,198,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipN7T1FRAKu1FRyrwMy4rnx1v4Nfjygq1n9FGdMA=w1200-h1200-k-no,temple
3167,Taleju Temple,27.6731633,85.3251391,4.6,20,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipOD-Rp-MMy0aE3_qx7-UT-9Ih5Y2WtgJEt71sCt=w1200-h1200-k-no,temple
3168,Single Tree,27.7252484,85.2747592,4.1,978,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipM4itEVTznbdNxS1uR5jWuulgsi6fObcnjJzUDa=w1200-h1200-k-no,temple
3169,Tripureshwor Mahadev Mandir,27.6926368,85.3145212,4.4,57,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipOqRgjYoRUq6XXIgmPtoDLdb317kz_gAzEmY9eI=w1200-h1200-k-no,temple
3170,Kumari Ghar,27.7037217,85.3064717,4.5,359,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipMeyx-2bDtQWAXG2blfPiuUCERvRb0cb-IejCMm=w1200-h1200-k-no,temple
3171,Harati Ajima Temple,27.7150438,85.2902356,4.5,15,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipPeh-vyrnzNR_b_SGaGTOPvsndL31B52Yg-xER4=w1200-h1200-k-no,temple
3172,Vishwanath Temple,27.6736896,85.3250707,4.6,23,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipMdD_64lS0sI4brcsq-vlBKrhBmy1Qre-kK7MEh=w1200-h1200-k-no,temple
3173,Manakamana Mandir Kathmandu,27.7336757,85.2929445,4.4,40,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipNUYSm2314lRqsqBN_ZUJgxEOiQiM6S6SiKEezD=w1200-h1200-k-no,temple
3174,Shree Bangalamukhi Temple,27.6763584,85.3259261,4.6,1283,Hindu temple,https://lh5.googleusercontent.com/p/AF1QipMQp-3imqRryJVEStQKOmmia8DPVdC6nOWT_29T=w1200-h1200-k-no,temple
